           station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                 PGV,2023-08-06 00:05,-77.3853,35.6352,84.20,74.44,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 00:25,-77.3853,35.6352,82.40,78.90,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 00:45,-77.3853,35.6352,80.60,88.83,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 01:05,-77.3853,35.6352,77.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 01:25,-77.3853,35.6352,77.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 01:45,-77.3853,35.6352,75.20,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 02:05,-77.3853,35.6352,75.20,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 02:25,-77.3853,35.6352,75.20,94.14,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 02:45,-77.3853,35.6352,75.20,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 03:05,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                PGV,2023-08-06 03:25,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 03:45,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 04:05,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,5.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 04:25,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,5.00,CLR,M,M,M,M,M
                  PGV,2023-08-06 04:45,-77.3853,35.6352,73.40,94.10,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 05:05,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                PGV,2023-08-06 05:25,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 05:45,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                PGV,2023-08-06 06:05,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 06:25,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 06:45,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                PGV,2023-08-06 07:05,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 07:25,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 07:45,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 08:05,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 08:25,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 08:45,-77.3853,35.6352,73.40,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 09:05,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 09:25,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,5.00,CLR,M,M,M,M,M
            PGV,2023-08-06 09:45,-77.3853,35.6352,69.80,100.00,0.00,0.00,M,0.00,1.75,VV ,M,M,700.00,M,M
                 PGV,2023-08-06 10:05,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,3.00,CLR,M,M,M,M,M
                  PGV,2023-08-06 10:25,-77.3853,35.6352,71.60,94.06,0.00,0.00,M,0.00,3.00,CLR,M,M,M,M,M
                  PGV,2023-08-06 10:45,-77.3853,35.6352,71.60,94.06,0.00,0.00,M,0.00,3.00,CLR,M,M,M,M,M
                 PGV,2023-08-06 11:05,-77.3853,35.6352,71.60,100.00,0.00,0.00,M,0.00,4.00,CLR,M,M,M,M,M
