#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2023-08-15 00:00:00+00:00 2023-08-16 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
NPA,2023-08-15 00:56,-87.3180,30.3533,86.00,77.12,220.00,6.90,1015.40,0.00,10.00,FEW,FEW,SCT,5000.00,15000.00,25000.00
NPA,2023-08-15 01:56,-87.3180,30.3533,85.00,79.62,240.00,5.75,1015.70,0.00,10.00,FEW,M,M,25000.00,M,M
NPA,2023-08-15 02:56,-87.3180,30.3533,84.00,79.55,240.00,5.75,1016.20,0.00,10.00,FEW,M,M,25000.00,M,M
NPA,2023-08-15 03:56,-87.3180,30.3533,84.00,84.98,260.00,3.45,1015.90,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 04:56,-87.3180,30.3533,83.00,82.16,230.00,4.60,1015.50,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 05:56,-87.3180,30.3533,84.00,79.55,250.00,4.60,1014.60,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 06:56,-87.3180,30.3533,84.00,82.23,250.00,4.60,1014.30,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 07:56,-87.3180,30.3533,84.00,84.98,260.00,3.45,1014.50,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 08:56,-87.3180,30.3533,84.00,82.23,240.00,4.60,1014.60,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 09:56,-87.3180,30.3533,84.00,84.98,230.00,3.45,1014.70,0.00,10.00,CLR,M,M,M,M,M
NPA,2023-08-15 10:56,-87.3180,30.3533,84.00,87.82,230.00,4.60,1015.10,0.00,10.00,FEW,BKN,M,2000.00,25000.00,M
NPA,2023-08-15 11:56,-87.3180,30.3533,84.00,87.82,230.00,4.60,1015.10,0.00,10.00,FEW,BKN,M,1800.00,25000.00,M
NPA,2023-08-15 12:56,-87.3180,30.3533,88.00,79.85,M,6.90,1015.80,0.00,10.00,FEW,SCT,M,2000.00,25000.00,M
NPA,2023-08-15 13:56,-87.3180,30.3533,91.00,61.61,270.00,6.90,1015.60,0.00,10.00,FEW,SCT,M,2500.00,25000.00,M
NPA,2023-08-15 15:02,-87.3180,30.3533,93.00,55.98,M,6.90,M,0.00,10.00,FEW,FEW,M,2500.00,25000.00,M
NPA,2023-08-15 15:56,-87.3180,30.3533,95.00,54.41,M,4.60,1015.60,0.00,10.00,FEW,FEW,M,2500.00,25000.00,M
NPA,2023-08-15 16:56,-87.3180,30.3533,95.00,56.25,210.00,16.10,1015.10,0.00,10.00,FEW,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 17:56,-87.3180,30.3533,93.00,61.85,220.00,17.25,1014.90,0.00,10.00,FEW,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 18:56,-87.3180,30.3533,94.00,58.01,220.00,14.95,1014.40,0.00,10.00,FEW,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 19:56,-87.3180,30.3533,97.00,52.90,210.00,14.95,1013.20,0.00,10.00,SCT,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 20:56,-87.3180,30.3533,94.00,54.28,220.00,14.95,1011.80,0.00,10.00,SCT,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 21:56,-87.3180,30.3533,91.00,65.83,220.00,11.50,1010.90,0.00,10.00,SCT,SCT,M,5000.00,25000.00,M
NPA,2023-08-15 22:56,-87.3180,30.3533,89.00,70.11,240.00,10.35,1012.10,0.00,10.00,SCT,SCT,BKN,5000.00,12000.00,25000.00
NPA,2023-08-15 23:56,-87.3180,30.3533,88.00,70.00,M,5.75,1012.10,0.00,10.00,SCT,SCT,BKN,5000.00,8500.00,12000.00
